feature,p1,p99,original_min,original_max
企业倍数(EV除EBITDA),-160.8882,290.4701,-12677.5286,321003.8032
市净率PB(MRQ),0.455,28.5044,-1214.0986,8399.3904
市现率PCF(现金净流量TTM),-1544.7397,1674.605,-865178.1875,617521.3125
市现率PCF(经营现金流TTM),-703.4885,814.7501,-79641.7577,59460.1019
市盈率PE(TTM),-396.465,580.7894,-3176900.5,155726.3281
"市盈率PE(TTM,扣除非经常性损益)",-796.243,935.8394,-79457.3976,56083.6742
市销率PS(TTM),0.17,38.0309,-7604.1148,72003.7946
股息率(近12个月),0.0546,7.0372,0.0059,41.4815
MV,14.0873,2538.0493,7.7633,25836.2202
净利润同比增长率,-1440.9835,1786.2117,-1009322.1166,571255.4902
净资产同比增长率,-86.0731,295.95,-25609.6782,29993.2013
利润总额(同比增长率),-1275.7321,1669.9803,-94471.9109,250983.001
基本每股收益(同比增长率),-1333.2754,1525.4146,-51868.75,55300.0
总资产同比增长率,-37.0379,187.1323,-91.4018,3062.0286
现金净流量同比增长率,-4884.2828,6712.8803,-7291646.9243,5132654.126
营业利润(同比增长率),-1297.1642,1665.1066,-539059.2409,155128.9465
营业总收入(同比增长率),-66.3239,249.8224,-155.2348,191312.3328
