,count,mean,std,min,p1,p5,p25,p50,p75,p95,p99,max,skew,kurtosis,iqr,cv
企业倍数(EV除EBITDA),20772.0,73.7235,3523.9394,-12677.5286,-160.8882,-22.8676,9.575,18.0475,32.2028,124.236,290.4701,321003.8032,82.1233,6892.1443,22.6278,47.7994
市净率PB(MRQ),20772.0,4.7429,66.6206,-1214.0986,0.455,0.8427,1.6772,2.6652,4.3238,11.2225,28.5044,8399.3904,103.0654,12439.8199,2.6465,14.0463
市现率PCF(现金净流量TTM),20772.0,7.7904,9210.963,-865178.1875,-1544.7397,-281.9825,-32.7041,9.5275,48.057,323.624,1674.605,617521.3125,-25.8136,5107.1771,80.7611,1182.3423
市现率PCF(经营现金流TTM),20772.0,34.3069,1167.0846,-79641.7577,-703.4885,-120.9491,4.4212,18.1349,43.7779,185.5466,814.7501,59460.1019,1.6782,1916.8995,39.3566,34.0189
市盈率PE(TTM),20772.0,-227.6278,28697.5177,-3176900.5,-396.465,-50.6412,12.0172,26.9801,50.2199,171.5419,580.7894,155726.3281,-102.7665,10674.6942,38.2027,-126.0721
"市盈率PE(TTM,扣除非经常性损益)",20772.0,19.6104,1282.2824,-79457.3976,-796.243,-104.0976,9.0199,28.7023,55.8172,228.5466,935.8394,56083.6742,-26.2001,1790.9372,46.7973,65.388
市销率PS(TTM),20772.0,13.0111,740.8866,-7604.1148,0.17,0.4718,1.4581,2.9622,5.686,16.1802,38.0309,72003.7946,87.7579,8054.5247,4.228,56.9427
股息率(近12个月),20772.0,1.34,1.6273,0.0059,0.0546,0.13,0.3976,0.8468,1.6498,4.3025,7.0372,41.4815,4.7198,49.5945,1.2521,1.2144
MV,20772.0,206.2283,781.3299,7.7633,14.0873,18.813,32.8616,58.2491,139.0751,687.4433,2538.0493,25836.2202,15.3977,342.0091,106.2135,3.7887
净利润同比增长率,20772.0,9.0778,8776.3682,-1009322.1166,-1440.9835,-245.9301,-35.1649,10.6165,61.1624,344.2467,1786.2117,571255.4902,-61.4292,9357.8638,96.3273,966.7909
净资产同比增长率,20772.0,17.7703,395.3618,-25609.6782,-86.0731,-25.8764,0.9091,6.8741,18.8481,109.4187,295.95,29993.2013,-0.4382,3394.4792,17.939,22.2484
利润总额(同比增长率),20772.0,84.4438,3295.5493,-94471.9109,-1275.7321,-236.543,-35.0028,9.4584,59.7796,333.4904,1669.9803,250983.001,41.6321,2844.9181,94.7824,39.0265
基本每股收益(同比增长率),20772.0,16.8324,1076.8002,-51868.75,-1333.2754,-245.6745,-38.8889,5.8824,53.7841,316.6667,1525.4146,55300.0,-2.2148,1033.6949,92.673,63.972
总资产同比增长率,20772.0,19.7123,67.0834,-91.4018,-37.0379,-16.2308,0.908,9.9445,23.9994,77.5201,187.1323,3062.0286,20.7355,642.2773,23.0914,3.4031
现金净流量同比增长率,20772.0,93.0211,64545.4114,-7291646.9243,-4884.2828,-814.0455,-142.6279,-0.8747,127.6,1075.9347,6712.8803,5132654.126,-42.6182,9866.268,270.2279,693.8789
营业利润(同比增长率),20772.0,5.0699,4863.0919,-539059.2409,-1297.1642,-233.1437,-35.0277,9.5936,60.5988,339.6857,1665.1066,155128.9465,-67.5323,7629.5129,95.6266,959.2094
营业总收入(同比增长率),20772.0,41.2508,1384.1816,-155.2348,-66.3239,-34.8916,-0.8696,15.7623,36.2767,94.2016,249.8224,191312.3328,129.2118,17628.4649,37.1463,33.5553
