feature,orig_min,orig_max,win_min,win_max,skew_before,skew_after,skew_change
企业倍数(EV除EBITDA),-3265.371009781713,38910.43025771137,-144.82342386783225,266.4011355795333,49.36,1.72,-47.64
市净率PB(MRQ),-867.2751891576602,8399.390430567366,0.4849885349343052,32.013006816058954,85.14,3.74,-81.4
市现率PCF(现金净流量TTM),-865178.1875,358759.90625,-1506.016407470703,1737.9835192871149,-49.59,0.68,50.27
市现率PCF(经营现金流TTM),-79641.75765093199,59460.10189871945,-647.1577257013917,896.522149671162,-12.35,1.52,13.87
"市盈率PE(TTM,扣除非经常性损益)",-40894.32880289922,35999.78120259348,-860.648530758464,802.7811559911535,-15.26,-0.33,14.93
市销率PS(TTM),-7604.114812007892,37403.7873616441,0.17043042809375175,42.04537756962856,81.76,3.27,-78.49
股息率(近12个月),0.0058979652020053,23.43276892315885,0.05418996008081438,6.835236051924534,3.75,2.05,-1.7
MV,8.97796566,25836.2201526,13.488073668972,2740.018480055357,14.84,4.77,-10.07
净利润同比增长率,-222891.916160656,173026.135988259,-980.7374326403415,2739.3632226363898,-12.03,4.18,16.21
净资产同比增长率,-5983.78396989078,9384.37020681151,-80.329992687858,264.990216007798,13.26,2.71,-10.55
利润总额(同比增长率),-94471.9109,250983.001,-944.912976,2853.9994380000003,34.19,4.45,-29.74
基本每股收益(同比增长率),-51868.75,55299.99999999999,-1000.0928571428572,2304.333333333337,-3.84,3.52,7.36
总资产同比增长率,-91.4017579159354,3062.02862086459,-38.25645262336919,192.31035357980875,20.34,2.49,-17.85
现金净流量同比增长率,-7291646.92433876,5132654.1259749,-5353.371658732893,8126.432417218863,-26.9,2.3,29.2
营业利润(同比增长率),-93043.8483,155128.9465,-883.9429749999999,2667.018046,19.92,4.23,-15.69
营业总收入(同比增长率),-97.4094,10664.6976,-59.047159,270.95599900000013,37.77,2.15,-35.62
